type	latitude	longitude	altitude (m)	name
W	20.935468587	107.062110901	0.0	Px19y16
W	20.935468587	107.067260742	0.0	Px20y16
W	20.935468587	107.072410584	0.0	Px21y16
W	20.935468587	107.077560425	10.7	Px22y16
W	20.935468587	107.082710266	0.0	Px23y16
W	20.935468587	107.087860107	0.0	Px24y16
W	20.935468587	107.093009949	0.0	Px25y16
W	20.935468587	107.098159790	0.0	Px26y16
W	20.930658644	106.969413757	0.0	Px1y17
W	20.930658644	106.974563599	0.0	Px2y17
W	20.930658644	106.979713440	5.5	Px3y17
W	20.930658644	106.984863281	9.1	Px4y17
W	20.930658644	106.990013123	61.3	Px5y17
W	20.930658644	106.995162964	0.0	Px6y17
W	20.930658644	107.000312805	0.0	Px7y17
W	20.930658644	107.005462646	0.0	Px8y17
W	20.930658644	107.010612488	0.0	Px9y17
W	20.930658644	107.015762329	0.0	Px10y17
W	20.930658644	107.020912170	0.0	Px11y17
W	20.930658644	107.026062012	0.0	Px12y17
W	20.930658644	107.031211853	0.0	Px13y17
W	20.930658644	107.036361694	0.0	Px14y17
W	20.930658644	107.041511536	0.0	Px15y17
W	20.930658644	107.046661377	0.0	Px16y17
W	20.930658644	107.051811218	0.0	Px17y17
W	20.930658644	107.056961060	0.0	Px18y17
W	20.930658644	107.062110901	0.0	Px19y17
W	20.930658644	107.067260742	0.0	Px20y17
W	20.930658644	107.072410584	0.0	Px21y17
W	20.930658644	107.077560425	0.0	Px22y17
W	20.930658644	107.082710266	0.0	Px23y17
W	20.930658644	107.087860107	0.0	Px24y17
W	20.930658644	107.093009949	0.0	Px25y17
W	20.930658644	107.098159790	0.0	Px26y17
W	20.925848545	106.969413757	0.0	Px1y18
W	20.925848545	106.974563599	0.0	Px2y18
W	20.925848545	106.979713440	0.3	Px3y18
W	20.925848545	106.984863281	20.1	Px4y18
W	20.925848545	106.990013123	22.5	Px5y18
W	20.925848545	106.995162964	0.0	Px6y18
W	20.925848545	107.000312805	0.0	Px7y18
W	20.925848545	107.005462646	0.0	Px8y18
W	20.925848545	107.010612488	0.0	Px9y18
W	20.925848545	107.015762329	0.0	Px10y18
W	20.925848545	107.020912170	0.0	Px11y18
W	20.925848545	107.026062012	0.0	Px12y18
W	20.925848545	107.031211853	0.0	Px13y18
W	20.925848545	107.036361694	0.0	Px14y18
W	20.925848545	107.041511536	0.0	Px15y18
W	20.925848545	107.046661377	0.0	Px16y18
W	20.925848545	107.051811218	0.0	Px17y18
W	20.925848545	107.056961060	0.0	Px18y18
W	20.925848545	107.062110901	0.0	Px19y18
W	20.925848545	107.067260742	0.0	Px20y18
W	20.925848545	107.072410584	0.0	Px21y18
W	20.925848545	107.077560425	0.0	Px22y18
W	20.925848545	107.082710266	0.0	Px23y18
W	20.925848545	107.087860107	0.0	Px24y18
W	20.925848545	107.093009949	0.0	Px25y18
W	20.925848545	107.098159790	0.0	Px26y18
W	20.921038293	106.969413757	0.0	Px1y19
W	20.921038293	106.974563599	0.0	Px2y19
W	20.921038293	106.979713440	0.0	Px3y19
W	20.921038293	106.984863281	1.3	Px4y19
W	20.921038293	106.990013123	0.0	Px5y19
W	20.921038293	106.995162964	0.0	Px6y19
W	20.921038293	107.000312805	0.0	Px7y19
W	20.921038293	107.005462646	0.0	Px8y19
W	20.921038293	107.010612488	0.0	Px9y19
W	20.921038293	107.015762329	0.0	Px10y19
W	20.921038293	107.020912170	0.0	Px11y19
W	20.921038293	107.026062012	0.0	Px12y19
W	20.921038293	107.031211853	0.0	Px13y19
W	20.921038293	107.036361694	0.0	Px14y19
W	20.921038293	107.041511536	0.0	Px15y19
W	20.921038293	107.046661377	0.0	Px16y19
W	20.921038293	107.051811218	0.0	Px17y19
W	20.921038293	107.056961060	0.0	Px18y19
W	20.921038293	107.062110901	0.0	Px19y19
W	20.921038293	107.067260742	0.0	Px20y19
W	20.921038293	107.072410584	0.0	Px21y19
W	20.921038293	107.077560425	0.0	Px22y19
W	20.921038293	107.082710266	0.0	Px23y19
W	20.921038293	107.087860107	0.0	Px24y19
W	20.921038293	107.093009949	2.5	Px25y19
W	20.921038293	107.098159790	0.2	Px26y19
W	20.916227886	106.969413757	0.0	Px1y20
W	20.916227886	106.974563599	0.0	Px2y20
W	20.916227886	106.979713440	0.0	Px3y20
W	20.916227886	106.984863281	0.0	Px4y20
W	20.916227886	106.990013123	0.0	Px5y20
W	20.916227886	106.995162964	0.0	Px6y20
W	20.916227886	107.000312805	0.0	Px7y20
